,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
149682,House,29000000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,4.8
149683,House,19000000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,4.8
149684,House,27000000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,4.8
149685,Flat,3500000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,2.8
149686,Upper Portion,16500000,Gulshan-e-Iqbal Town,Karachi,Sindh,24.920535,67.08312,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,9.6
149687,Flat,3700000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,2.8
149688,House,19500000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,4.8
149689,House,27500000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,4.8
149690,Flat,3700000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,2.9
149691,Flat,3500000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,2.9
149692,Upper Portion,8500000,Federal B Area,Karachi,Sindh,24.915164,67.055476,0,For Sale,0,2019-07-12,Salman Estate,Syed Salman Ali,4.8
149693,Flat,3900000,Gadap Town,Karachi,Sindh,25.066861,67.063204,0,For Sale,2,2019-07-12,AL-Haram Estate & Builders,Saqib Hussain,2.7
149694,Flat,4300000,Gadap Town,Karachi,Sindh,25.067949,67.06844,0,For Sale,0,2019-07-12,AL-Haram Estate & Builders,Saqib Hussain,3.3
149695,Flat,8000000,Gadap Town,Karachi,Sindh,25.067949,67.06844,0,For Sale,0,2019-07-12,AL-Haram Estate & Builders,Saqib Hussain,4.2
149696,Flat,3950000,North Nazimabad,Karachi,Sindh,24.961832,67.050476,0,For Sale,2,2019-07-12,AL-Haram Estate & Builders,Saqib Hussain,2.7
149697,Flat,6700000,Bahria Town Karachi,Karachi,Sindh,24.894076,67.027715,3,For Sale,2,2019-07-12,Estate Tree,Irfan Shabbir,5.1
149698,Flat,17500000,North Nazimabad,Karachi,Sindh,24.935635,67.05102,0,For Sale,0,2019-07-12,Binbadar Property Consultant,Atif,7.1
149699,House,50000000,North Nazimabad,Karachi,Sindh,24.961832,67.050476,0,For Sale,6,2019-07-12,Binbadar Property Consultant,Atif,12.0
149700,House,90000000,North Nazimabad,Karachi,Sindh,24.929369,67.045226,0,For Sale,6,2019-07-12,Binbadar Property Consultant,Atif,16.0
149701,Flat,7000000,North Nazimabad,Karachi,Sindh,24.941744,67.053638,0,For Sale,2,2019-07-12,Binbadar Property Consultant,Atif,4.0
149702,Flat,8500000,North Nazimabad,Karachi,Sindh,24.929369,67.045226,0,For Sale,2,2019-07-12,Binbadar Property Consultant,Atif,4.2
149703,Flat,11000000,North Nazimabad,Karachi,Sindh,24.941744,67.053638,0,For Sale,2,2019-07-12,Binbadar Property Consultant,Atif,4.2
149704,Flat,18500000,North Nazimabad,Karachi,Sindh,24.942561,67.042007,0,For Sale,2,2019-07-12,Binbadar Property Consultant,Atif,7.1
